Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Sebokeng,Stock-Theft,Total property-related crime,Total property-related crime,15,01/01/2023,Total property-related crime,SEBOKENG
Rietgat,Stock-Theft,Total property-related crime,Total property-related crime,6,01/01/2023,Total property-related crime,RIETGAT
Sharpeville,Stock-Theft,Total property-related crime,Total property-related crime,3,01/01/2023,Total property-related crime,SHARPEVILLE
Sinoville,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,SINOVILLE
Wedela,Stock-Theft,Total property-related crime,Total property-related crime,9,01/01/2023,Total property-related crime,WEDELA
Sandton,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,SANDTON
Sandringham,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,SANDRINGHAM
Soshanguve,Stock-Theft,Total property-related crime,Total property-related crime,4,01/01/2023,Total property-related crime,SOSHANGUVE
Rabie Ridge,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,RABIE RIDGE
Pretoria West,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,PRETORIA WEST
Roodepoort,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,ROODEPOORT
Silverton,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,SILVERTON
Villieria,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,VILLIERIA
Jabulani,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,JABULANI
Yeoville,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,YEOVILLE
Wonderboompoort,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,WONDERBOOMPOORT
Wierdabrug,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,WIERDABRUG
Sophia Town,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,SOPHIA TOWN
Sebenza,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,SEBENZA
Rosebank,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,ROSEBANK
Randburg,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,RANDBURG
Primrose,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,PRIMROSE
Pretoria Moot,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,PRETORIA MOOT
Pretoria Central,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,PRETORIA CENTRAL
Ivory Park,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,IVORY PARK
Vosloorus,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,VOSLOORUS
Reigerpark,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,REIGERPARK
Protea,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,PROTEA
Vaal Marina,Stock-Theft,Total property-related crime,Total property-related crime,4,01/01/2023,Total property-related crime,VAAL MARINA
Nigel,Stock-Theft,Total property-related crime,Total property-related crime,37,01/01/2023,Total property-related crime,NIGEL
Kameeldrift,Stock-Theft,Total property-related crime,Total property-related crime,31,01/01/2023,Total property-related crime,KAMEELDRIFT
Orange Farms,Stock-Theft,Total property-related crime,Total property-related crime,15,01/01/2023,Total property-related crime,ORANGE FARMS
Kliprivier,Stock-Theft,Total property-related crime,Total property-related crime,13,01/01/2023,Total property-related crime,KLIPRIVIER
Khutsong,Stock-Theft,Total property-related crime,Total property-related crime,10,01/01/2023,Total property-related crime,KHUTSONG
Loate,Stock-Theft,Total property-related crime,Total property-related crime,12,01/01/2023,Total property-related crime,LOATE
Kagiso,Stock-Theft,Total property-related crime,Total property-related crime,5,01/01/2023,Total property-related crime,KAGISO
Krugersdorp,Stock-Theft,Total property-related crime,Total property-related crime,7,01/01/2023,Total property-related crime,KRUGERSDORP
Olievenhoutbosch,Stock-Theft,Total property-related crime,Total property-related crime,3,01/01/2023,Total property-related crime,OLIEVENHOUTBOSCH
Muldersdrift,Stock-Theft,Total property-related crime,Total property-related crime,11,01/01/2023,Total property-related crime,MULDERSDRIFT
Lenasia,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,LENASIA
Orlando,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,ORLANDO
Kempton Park,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,KEMPTON PARK
Kwa Thema,Stock-Theft,Total property-related crime,Total property-related crime,6,01/01/2023,Total property-related crime,KWA THEMA
Lenasia South,Stock-Theft,Total property-related crime,Total property-related crime,2,01/01/2023,Total property-related crime,LENASIA SOUTH
Olifantsfontein,Stock-Theft,Total property-related crime,Total property-related crime,1,01/01/2023,Total property-related crime,OLIFANTSFONTEIN
Katlehong North,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,KATLEHONG NORTH
Katlehong,Stock-Theft,Total property-related crime,Total property-related crime,3,01/01/2023,Total property-related crime,KATLEHONG
Langlaagte,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,LANGLAAGTE
Parkview,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,PARKVIEW
Or Tambo Intern Airp,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,OR TAMBO INTERN AIRP
Norwood,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,NORWOOD
Norkempark,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,NORKEMPARK
Naledi,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,NALEDI
Linden,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,LINDEN
Laudium,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,LAUDIUM
Kliptown,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,KLIPTOWN
Jhb Central,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,JHB CENTRAL
Jeppe,Stock-Theft,Total property-related crime,Total property-related crime,0,01/01/2023,Total property-related crime,JEPPE
Cosmo City,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,100,01/01/2023,Total property-related crime,COSMO CITY
Sunnyside,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,473,01/01/2023,Total property-related crime,SUNNYSIDE
Tarlton,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,16,01/01/2023,Total property-related crime,TARLTON
Temba,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,73,01/01/2023,Total property-related crime,TEMBA
Tembisa,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,244,01/01/2023,Total property-related crime,TEMBISA
Tembisa South,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,63,01/01/2023,Total property-related crime,TEMBISA SOUTH
The Barrage,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,19,01/01/2023,Total property-related crime,THE BARRAGE
Tokoza,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,22,01/01/2023,Total property-related crime,TOKOZA
Tsakane,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,93,01/01/2023,Total property-related crime,TSAKANE
Honeydew,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,683,01/01/2023,Total property-related crime,HONEYDEW
Florida,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,397,01/01/2023,Total property-related crime,FLORIDA
Garsfontein,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,288,01/01/2023,Total property-related crime,GARSFONTEIN
Hillbrow,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,191,01/01/2023,Total property-related crime,HILLBROW
Hercules,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,240,01/01/2023,Total property-related crime,HERCULES
Germiston,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,215,01/01/2023,Total property-related crime,GERMISTON
Cleveland,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,135,01/01/2023,Total property-related crime,CLEVELAND
Douglasdale,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,185,01/01/2023,Total property-related crime,DOUGLASDALE
Diepkloof,Theft of motor vehicle and motorcycle,Total property-related crime,Total property-related crime,92,01/01/2023,Total property-related crime,DIEPKLOOF
